baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	newp	Treatment	tissue	otu
Otu00536	31.4345758625081	9.94267097953509	1.20281872235756	8.26614251567944	1.38363135688423e-16	2.60315759934731e-15	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00536
Otu00538	1.74028567138087	3.91282187656058	1.5511328762121	2.52255750398107	0.0116504900066379	0.0366741105656424	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	3.7e-02	pre-weaning	wean-feces	Otu00538
Otu00541	14.3862323716793	7.13174258171506	1.54900702989758	4.60407373502147	4.14305666594494e-06	2.5782560328842e-05	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00541
Otu00542	4.39774928025245	6.69334406352183	1.76595751525714	3.79020673243502	0.00015052195509564	0.000775619501097914	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Cerasicoccus	1.0e-03	pre-weaning	wean-feces	Otu00542
Otu00548	4.50081872189979	5.7281433563647	0.775862880553745	7.3829326030863	1.54840419771635e-13	2.27756181082277e-12	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00548
Otu00552	0.755005928035986	2.32922472202273	0.838052916506967	2.77932893752225	0.00544713349780101	0.0189945301712113	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminiclostridium_5	1.9e-02	pre-weaning	wean-feces	Otu00552
Otu00553	2.78325823590362	5.01509301027389	1.67545889428242	2.99326532413783	0.00276009684286144	0.0105326337069571	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	1.1e-02	pre-weaning	wean-feces	Otu00553
Otu00556	11.2753246873599	7.85848793538252	0.95987787553599	8.18696642111309	2.67892876437877e-16	4.92557584177825e-15	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	0.0e+00	pre-weaning	wean-feces	Otu00556
Otu00582	5.10741588761274	5.98272257439381	0.937965414170333	6.378404239655	1.78942676763338e-10	2.01061979863251e-09	Bacteria	Proteobacteria	Betaproteobacteria	Betaproteobacteria_unclassified	Betaproteobacteria_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00582
Otu00598	3.94732250888734	4.19311049608565	1.13421183392652	3.69693770657423	0.000218215861053872	0.00108973229378137	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae	Succinivibrio	1.0e-03	pre-weaning	wean-feces	Otu00598
Otu00599	1.19931991456167	1.9497070066079	0.619453259697132	3.14746427771027	0.0016469322833754	0.00672913241035708	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	7.0e-03	pre-weaning	wean-feces	Otu00599
Otu00608	3.39471506918368	5.04199772349705	1.12246127933278	4.49191238605053	7.05864630404853e-06	4.19885651468769e-05	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	0.0e+00	pre-weaning	wean-feces	Otu00608
Otu00613	1.8397224517127	3.0044322301629	0.935927195131051	3.21011318593239	0.00132682715015943	0.00549346347210992	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	5.0e-03	pre-weaning	wean-feces	Otu00613
Otu00618	16.3469562036676	8.52240194055831	1.79304252035608	4.75303950899382	2.00381172005107e-06	1.32875711600108e-05	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Peptoclostridium	0.0e+00	pre-weaning	wean-feces	Otu00618
Otu00619	2.38733199704203	4.42725678449994	1.13054967088342	3.91602147037065	9.00222345309256e-05	0.000472909011269602	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00619
Otu00621	0.779372423022454	2.26698839469423	0.882249504570185	2.5695547381448	0.0101829303081756	0.0325612277443244	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	3.3e-02	pre-weaning	wean-feces	Otu00621
Otu00624	3.58241739479436	4.92314141091746	0.942829035603304	5.22166927938023	1.77317435041516e-07	1.36618861855796e-06	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00624
Otu00638	1.917872022138	3.90352087481514	0.72592086563602	5.37733664866493	7.55957457076226e-08	6.0551443839076e-07	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00638
Otu00641	4.44404723488562	6.80112199886071	1.36332816522098	4.98861695398065	6.08130909794018e-07	4.47252641839419e-06	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00641
Otu00643	1.47734028820899	4.07885969580121	0.851203211996683	4.79187535751111	1.65229545500735e-06	1.12328321268987e-05	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00643
Otu00644	3.52395173496344	5.71649601730367	0.871076364370305	6.56256586807528	5.28896645556341e-11	6.29231450375117e-10	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00644
Otu00658	1.29600041491899	3.76990150616421	1.04509220110608	3.60724298025985	0.000309467834235309	0.00148141702897257	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Tyzzerella	1.0e-03	pre-weaning	wean-feces	Otu00658
Otu00664	1.16245044181823	5.08458730230108	1.73115153479565	2.93711278308243	0.00331283598310634	0.0122939647262983	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Lachnospiraceae_FCS020_group	1.2e-02	pre-weaning	wean-feces	Otu00664
Otu00666	1.38272093738325	3.35542446410418	0.965760316903478	3.47438635174273	0.000512023211405055	0.00232711673048702	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	NA	2.0e-03	pre-weaning	wean-feces	Otu00666
Otu00667	0.901090565584645	3.50824267401836	1.00784177573949	3.48094587708894	0.000499646442268023	0.00230088803458343	Bacteria	Lentisphaerae	Oligosphaeria	Oligosphaerales	Oligosphaeraceae	Oligosphaera	2.0e-03	pre-weaning	wean-feces	Otu00667
Otu00671	2.34907069951599	5.79084179592076	1.75355296274123	3.30234781552777	0.000958790997374353	0.00410561526653948	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	4.0e-03	pre-weaning	wean-feces	Otu00671
Otu00682	1.64118244606205	4.50336798655765	1.15455952332407	3.90050741913425	9.59912842174591e-05	0.000501012573754351	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-005	1.0e-03	pre-weaning	wean-feces	Otu00682
Otu00687	1.28758175968442	4.46052525179016	1.80391013952191	2.47269814280901	0.0134097354345734	0.0412489580477941	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA	4.1e-02	pre-weaning	wean-feces	Otu00687
Otu00688	15.8006354848328	8.70417565102715	1.49450982978973	5.82410063656243	5.74209694682723e-09	5.5968149758834e-08	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	0.0e+00	pre-weaning	wean-feces	Otu00688
Otu00690	1.15472358661401	3.11045643141053	1.19712192882253	2.59827871875166	0.00936924103474986	0.0304406264944283	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_unclassified	NA	3.0e-02	pre-weaning	wean-feces	Otu00690
Otu00708	1.85899016761642	4.21355399316371	1.24721910356517	3.37835908792551	0.000729197932576171	0.00324132487612155	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	NA	3.0e-03	pre-weaning	wean-feces	Otu00708
Otu00721	1.45251263989327	2.66096654078509	0.901337842343104	2.95224100861857	0.00315476593057285	0.0118157668418215	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	1.2e-02	pre-weaning	wean-feces	Otu00721
Otu00728	2.48061365116448	4.98686961625129	1.08302120249678	4.60459093945221	4.13277395198288e-06	2.5782560328842e-05	Bacteria	Firmicutes	Firmicutes_unclassified	Firmicutes_unclassified	Firmicutes_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00728
Otu00729	7.02786767488766	7.25908086480077	1.79039067181089	4.05446754113089	5.02486268176534e-05	0.000274669858753254	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	0.0e+00	pre-weaning	wean-feces	Otu00729
Otu00732	5.38787546659143	7.37534864528036	1.31831548311767	5.59452478540151	2.21226866098923e-08	1.92443585670998e-07	Bacteria	Lentisphaerae	Lentisphaerae_unclassified	Lentisphaerae_unclassified	Lentisphaerae_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00732
Otu00735	15.7940930256935	8.31396926332663	1.4906938551796	5.57724796036336	2.44353446298271e-08	2.10299934101384e-07	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00735
Otu00745	1.77809764464158	4.16146735096532	1.01665765437747	4.09328285981726	4.25308360672346e-05	0.000234064261077502	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00745
Otu00746	0.567466832016434	2.96215016585229	0.91384589126768	3.24141104551362	0.0011893954784902	0.00495990176339472	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Sphaerochaeta	5.0e-03	pre-weaning	wean-feces	Otu00746
Otu00753	4.94528222449374	6.20030874983269	1.17621005418329	5.27142981628221	1.35365050473979e-07	1.0529839022447e-06	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas	0.0e+00	pre-weaning	wean-feces	Otu00753
Otu00754	3.56537118837299	6.75029964717233	1.22656661573081	5.50341054501175	3.72513583823675e-08	3.10684009601395e-07	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00754
Otu00763	1.35550381729719	4.72746732423857	1.42406226485796	3.31970549385359	0.000901124567372963	0.00391940739249853	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Sutterella	4.0e-03	pre-weaning	wean-feces	Otu00763
Otu00781	2.05569438722551	4.8077648508716	0.968681153972984	4.96320675916204	6.93386985065017e-07	5.00848277604999e-06	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00781
Otu00788	13.1708987235712	8.41251576003499	1.62105306805692	5.18953754556517	2.1081699486705e-07	1.57917545229114e-06	Bacteria	Bacteroidetes	Bacteroidetes_unclassified	Bacteroidetes_unclassified	Bacteroidetes_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00788
Otu00789	0.359977441480905	2.63639601571748	1.06481242367973	2.47592529640737	0.0132891380718627	0.041034017939454	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	4.1e-02	pre-weaning	wean-feces	Otu00789
Otu00803	1.24119843673234	4.65571149756279	1.06204454988524	4.38372523833005	1.16666904227284e-05	6.88930843210751e-05	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Rikenellaceae_RC9_gut_group	0.0e+00	pre-weaning	wean-feces	Otu00803
Otu00811	2.20080357217137	3.99917442391782	0.990609299418264	4.03708548492967	5.41193525298638e-05	0.000293842659037986	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00811
Otu00812	0.736910769004237	3.07917455479199	1.182653198338	2.60361580141937	0.00922460989603686	0.0300915701850557	Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	NA	3.0e-02	pre-weaning	wean-feces	Otu00812
Otu00814	2.3999767359813	6.01616815698073	1.59070733616579	3.78207104487366	0.000155528956009859	0.000791339153534442	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_unclassified	Gammaproteobacteria_unclassified	NA	1.0e-03	pre-weaning	wean-feces	Otu00814
Otu00815	0.785017859755582	2.38640019267895	0.891482061731758	2.67689087096517	0.00743088338483156	0.024944334681862	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	2.5e-02	pre-weaning	wean-feces	Otu00815
Otu00824	0.833208132801955	2.72099398442419	1.11034598982467	2.45058207924346	0.0142625441065312	0.0433774367751268	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	4.3e-02	pre-weaning	wean-feces	Otu00824
Otu00828	0.73363333555949	4.09505977143869	1.50067082751994	2.72881946949441	0.00635614900784147	0.0216055653249737	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	2.2e-02	pre-weaning	wean-feces	Otu00828
Otu00831	2.37839643898718	5.34422414375272	0.805919193852752	6.63121586446439	3.32932918816856e-11	4.14373432804364e-10	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00831
Otu00853	0.785526566335854	3.57700475397109	1.22859653357919	2.91145600382775	0.003597485671034	0.0132289359448478	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-010	1.3e-02	pre-weaning	wean-feces	Otu00853
Otu00857	0.427684045899524	2.98871071623586	1.22184444881746	2.44606481547502	0.014442503416712	0.0437602444349063	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	4.4e-02	pre-weaning	wean-feces	Otu00857
Otu00906	1.22892739886202	5.12282447693439	1.55533814126429	3.29370465561283	0.00098876332044262	0.00421005013809516	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	4.0e-03	pre-weaning	wean-feces	Otu00906
Otu00942	2.42667029903453	5.43293294549565	1.82899946456123	2.97043987752013	0.00297373607322413	0.011294612597363	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	1.1e-02	pre-weaning	wean-feces	Otu00942
Otu01031	3.19923782502696	5.9157288573604	2.13119078301258	2.77578568024686	0.00550684959239396	0.0191203490139344	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	1.9e-02	pre-weaning	wean-feces	Otu01031
Otu01033	0.658099555290959	3.29949511306913	1.24800512356226	2.64381535842671	0.00819773612040266	0.0270692592710439	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Oscillibacter	2.7e-02	pre-weaning	wean-feces	Otu01033
Otu01119	2.47409694264913	5.61968596576099	1.93912897421554	2.8980465149485	0.00375494895158476	0.013735663641834	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	1.4e-02	pre-weaning	wean-feces	Otu01119
