baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Kingdom	Phylum	Class	Order	Family	Genus	newp	Treatment	tissue	otu
Otu00108	21.5625000093707	-1.65900299722007	0.690214249999057	-2.40360583285891	0.0162342671374888	0.0490056795307031	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olsenella	4.9e-02	post-weaning	wean-feces	Otu00108
Otu00109	19.0905001759878	-2.2872774249232	0.499086702470161	-4.58292599983657	4.58514336997556e-06	2.78900826038363e-05	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcus_1	0.0e+00	post-weaning	wean-feces	Otu00109
Otu00111	601.801231762713	12.5500151240106	0.681936156436202	18.4035045004756	1.23137260433057e-75	4.98090218451714e-73	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	0.0e+00	pre-weaning	wean-feces	Otu00111
Otu00113	129.476629351847	12.0962856812555	0.956999692860277	12.6398010067299	1.27375909105403e-36	5.15235552331353e-35	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00113
Otu00114	15.0546364263367	-3.01709191592973	0.694037475281261	-4.34715994940625	1.37911649293066e-05	7.98718414474767e-05	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-014	0.0e+00	post-weaning	wean-feces	Otu00114
Otu00116	4.55241584447523	7.0429513232528	1.51065555902243	4.66218211106338	3.12874138939765e-06	2.02492142721816e-05	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae	Actinomyces	0.0e+00	pre-weaning	wean-feces	Otu00116
Otu00117	21.0645218419751	-2.93067240113771	0.606394365508903	-4.83294794251298	1.34525973764714e-06	9.2230095572588e-06	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-008	0.0e+00	post-weaning	wean-feces	Otu00117
Otu00118	95.6564272151347	4.92938598218736	0.4596182452129	10.7249571433006	7.77230955171451e-27	2.61991601139043e-25	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00118
Otu00122	238.818865495774	12.0752616723259	0.945651329015853	12.7692536369538	2.43477903251952e-37	1.15866837488723e-35	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	0.0e+00	pre-weaning	wean-feces	Otu00122
Otu00123	533.049543085287	5.97768434379352	1.03669654860553	5.76608878638033	8.11323288440816e-09	7.63209930637931e-08	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00123
Otu00124	24.1162312229127	8.85405137303534	1.38389603489119	6.39791657017898	1.57511304791695e-10	1.79474148699269e-09	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_1	Clostridium_sensu_stricto_1	0.0e+00	pre-weaning	wean-feces	Otu00124
Otu00125	1.30851895173265	4.97806331299326	1.47759925303285	3.36902127066966	0.000754356071453311	0.00333483093882912	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	3.0e-03	pre-weaning	wean-feces	Otu00125
Otu00128	0.424453441300621	3.9999842248272	1.57482979883996	2.53994700111317	0.0110869268073297	0.0351738187730578	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	3.5e-02	pre-weaning	wean-feces	Otu00128
Otu00130	179.518413704757	11.204904196469	1.08573344716008	10.3201243599682	5.71490882350484e-25	1.71235601415386e-23	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	0.0e+00	pre-weaning	wean-feces	Otu00130
Otu00131	88.4996398070905	3.07981990965914	0.438003302827329	7.03149928271952	2.04325916622461e-12	2.75499444245951e-11	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00131
Otu00137	15.9639939382532	-2.54029099637694	0.586768890569781	-4.32928711321112	1.49592800268687e-05	8.52257573361746e-05	Bacteria	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	Bacteria_unclassified	NA	0.0e+00	post-weaning	wean-feces	Otu00137
Otu00138	13.9167909223309	-1.43327909694063	0.552379342480838	-2.59473696192822	0.00946633345653605	0.0305110110212656	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Ruminococcaceae_UCG-014	3.1e-02	post-weaning	wean-feces	Otu00138
Otu00139	344.470157869317	13.264457994154	1.07299061605759	12.3621379307962	4.18866297601093e-35	1.61363254647278e-33	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter	0.0e+00	pre-weaning	wean-feces	Otu00139
Otu00140	16.0856491678339	-1.76904746372733	0.582283005896107	-3.03812312194282	0.00238056669593281	0.00930376066188234	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	NA	9.0e-03	post-weaning	wean-feces	Otu00140
Otu00141	40.931488510369	2.03211125601168	0.354622809455293	5.73034560053552	1.00226220389415e-08	9.11045081966702e-08	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidales_S24-7_group	NA	0.0e+00	pre-weaning	wean-feces	Otu00141
Otu00142	7.95723213568072	7.82989438228472	1.50678659989554	5.19641891083153	2.03164160599164e-07	1.53607295256751e-06	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Coriobacteriaceae	Olsenella	0.0e+00	pre-weaning	wean-feces	Otu00142
Otu00145	23.6805155102435	-1.85089543438176	0.535499504709832	-3.45639056264804	0.000547461459161489	0.0024605351136758	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	NA	2.0e-03	post-weaning	wean-feces	Otu00145
Otu00146	75.6608002617387	3.88694960512882	0.669847274072439	5.80274005072457	6.52398946266039e-09	6.20930291210853e-08	Bacteria	Firmicutes	Clostridia	Clostridiales	Christensenellaceae	Christensenellaceae_R-7_group	0.0e+00	pre-weaning	wean-feces	Otu00146
Otu00147	3.70908650721843	3.20754156180522	0.532429137192441	6.02435392382721	1.69786468089888e-09	1.6957685516632e-08	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiales_unclassified	NA	0.0e+00	pre-weaning	wean-feces	Otu00147
Otu00151	33.6403366648063	7.89672742453856	0.745649518425611	10.5904010254201	3.30174299517955e-26	1.0684440332401e-24	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XIII	[Eubacterium]_nodatum_group	0.0e+00	pre-weaning	wean-feces	Otu00151
Otu00152	198.841963950252	12.4552715812137	0.859144655161284	14.4972927508646	1.26023074277292e-47	1.45646667271899e-45	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides	0.0e+00	pre-weaning	wean-feces	Otu00152
Otu00153	42.626948191387	4.95463858554414	1.03950576089924	4.76634067064531	1.87601954288728e-06	1.25429736379819e-05	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	NA	0.0e+00	pre-weaning	wean-feces	Otu00153
Otu00155	72.0994892183179	2.68222327846463	0.737467887517007	3.63707128658233	0.000275755632260889	0.00135203822120642	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	[Eubacterium]_coprostanoligenes_group	1.0e-03	pre-weaning	wean-feces	Otu00155
Otu00156	2.74544177447069	3.42848701583013	0.907796294248963	3.77671404647733	0.000158910997845356	0.000803493732855579	Bacteria	Deferribacteres	Deferribacteres	Deferribacterales	Deferribacteraceae	Mucispirillum	1.0e-03	pre-weaning	wean-feces	Otu00156
