group2	4-nitrophenyl sulfate	a-D-galactopyranoside	a-L-fucopyranoside	B-D-galactopyranoside	B-D-glucopyranoside	B-D-xylopyranoside	N-acetyl-B-D-glucosamine	day	tissue	pig	treatment	muc_deg
12 feces 83	3.10121193597495e-07	0.000118723417531946	1.60892008318479e-05	1.02124183006543e-07	1.04591972278064e-05	3.57173709309614e-06	6.12772997832512e-05	12	feces	83	control	7.77787459917032e-05
12 feces 84	9.0233065009802e-07	0.000201918676203847	2.09985888294712e-05	1.13580659536542e-05	1.61223671336596e-05	6.52715371227933e-06	5.25671751270036e-05	12	feces	84	control	8.5826160560227e-05
12 feces 85	1.55977123530291e-07	6.9333444560222e-05	1.67335115864528e-05	1.14769013666073e-05	9.1947452655817e-06	3.9281682024425e-06	9.43390100538529e-05	12	feces	85	control	0.000122705400130443
12 feces 86	5.79375893724944e-07	0.00025133651026634	2.19047088532383e-05	5.22021687462864e-05	2.10335303372151e-05	5.46527607258815e-06	7.46813409359142e-05	12	feces	86	control	0.000149367594429164
12 feces 87	1.48543611823209e-07	0.000122311850469456	1.7346256684492e-05	4.07122697563874e-05	1.19390719704601e-05	3.67941502515609e-06	7.1716091850511e-05	12	feces	87	control	0.000129923161903214
12 feces 91	0	0.000158905489357046	1.17962715389186e-05	1.40114379084967e-05	1.39109436759241e-05	3.22644310841943e-06	8.63623183680798e-05	12	feces	91	RPS	0.000112170027815495
12 feces 93	2.37686974540617e-07	0.000106229708399761	1.22641859774213e-05	1.40894236482472e-05	1.12594737519754e-05	2.84030425098528e-06	6.40958698390884e-05	12	feces	93	RPS	9.06871664392975e-05
12 feces 94	4.69815385629022e-07	0.000154490965048154	1.59555109922757e-05	2.8125e-05	2.23128641035188e-05	3.93373067174557e-06	8.0242371258516e-05	12	feces	94	RPS	0.000124792697636421
12 feces 95	6.16513750728871e-07	0.000156935844661301	1.28973559120618e-05	2.24190433749257e-05	2.28847471807829e-05	4.44239664833608e-06	4.30084978730389e-05	12	feces	95	RPS	7.89414109107553e-05
12 feces 96	6.48083977497278e-07	0.000166282927526357	1.3467394533571e-05	8.43360071301246e-06	2.39783720739847e-05	5.5636625999073e-06	5.04430013212606e-05	12	feces	96	RPS	7.29920805453414e-05
15 feces 67	6.05369736122246e-07	0.00011252111521409	7.98425430778371e-06	1.51162358882947e-05	1.72290036418206e-05	4.4034087441815e-06	4.22267766382464e-05	15	feces	67	control	6.59326365704471e-05
15 feces 68	0	8.66241122954227e-05	6.03461081402257e-06	2.06290849673201e-06	1.20820381291644e-05	2.94984383859562e-06	4.12129803440717e-05	15	feces	68	control	4.93104996548262e-05
15 feces 69	3.89987361123097e-08	0.000151374005283975	1.11166815210933e-05	3.89928698752129e-08	1.53499521449769e-05	4.05625872829143e-06	7.36749750722202e-05	15	feces	69	control	8.48696481993009e-05
15 feces 70	1.31473235010488e-06	0.000263714998293145	7.97868389780153e-06	1.40002970885324e-05	2.78627426850145e-05	4.71157273069597e-06	3.86506258850616e-05	15	feces	70	control	6.19443392215004e-05
15 feces 71	3.52916723374467e-08	0.000182545152430613	1.23848781937017e-05	7.34031491384432e-05	1.8887106188513e-05	3.79079002141076e-06	5.63383547530889e-05	15	feces	71	control	0.000142161673757571
15 feces 72	2.36022438187651e-06	0.000237029136176714	1.21119281045752e-05	1.88484105763517e-05	6.94099479869866e-05	6.58284027301716e-06	3.87898869875004e-05	15	feces	72	control	7.21104500503038e-05
15 feces 73	1.91288805320521e-07	8.44168374862182e-05	1.34618241235888e-05	8.60442661913248e-06	1.75595044758411e-05	4.9362040639352e-06	5.56289954271172e-05	15	feces	73	control	7.78865349751591e-05
15 feces 74	5.05104556784874e-07	0.000111704306810943	5.45528817587641e-06	1.62377450980392e-05	1.11796510920413e-05	4.28646284211825e-06	3.66694554355001e-05	15	feces	74	RPS	5.88675932662006e-05
15 feces 75	4.23385638991267e-07	0.000141191579013155	1.13153594771242e-05	7.57575757575758e-06	1.80274237305587e-05	4.19177431638328e-06	5.01254749047221e-05	15	feces	75	RPS	6.94399775965951e-05
15 feces 77	3.95537483087265e-07	6.66546337725892e-05	7.5460487225193e-06	3.96984551396316e-06	9.36183945837724e-06	2.37249439582623e-06	3.54681263415122e-05	15	feces	77	RPS	4.73795580610819e-05
15 feces 78	3.15674129391165e-08	0.000133177455583008	1.46538918597742e-05	8.89780154486036e-06	1.44549752203849e-05	3.20231470264574e-06	5.03520231692144e-05	15	feces	78	RPS	7.39352839867881e-05
15 feces 79	4.3081039656274e-07	0.000141921164260558	1.24108734402852e-05	5.45157456922163e-06	1.50305839844481e-05	3.68682696394602e-06	4.00654922537504e-05	15	feces	79	RPS	5.835875065982e-05
15 feces 80	2.30256589310536e-07	0.000118602760504845	1.24665775401069e-05	2.94674688057041e-06	2.16945323178401e-05	6.4603122164713e-06	5.09684953936239e-05	15	feces	80	RPS	6.66120764036118e-05
15 feces 81	2.74836086861759e-07	5.93812214658401e-05	5.11549316696377e-06	1.00267379679144e-05	8.55786663029024e-06	2.38363714483291e-06	4.17440274683675e-05	15	feces	81	control	5.71610946901075e-05
15 feces 83	3.24959453423298e-07	0.000102288548916214	6.51923648247177e-06	3.03271687462864e-05	1.96558133076756e-05	3.33226125970802e-06	2.74672603592395e-05	15	feces	83	control	6.4638625041421e-05
15 feces 84	4.2710458337869e-07	0.000108559525326354	1.32074420677362e-05	2.08147653000594e-05	1.74666695757803e-05	3.70168739971642e-06	6.34924054786319e-05	15	feces	84	control	9.79417174298062e-05
15 feces 85	5.14381751976843e-07	7.61706323510717e-05	9.59781639928699e-06	1.2191770647653e-05	2.10911017164385e-05	3.68312333802482e-06	3.13813655081299e-05	15	feces	85	control	5.36853343070467e-05
15 feces 86	8.85770326742506e-07	0.000110833621946187	8.75482768865121e-06	2.64501633986928e-05	1.87311552970598e-05	3.20231470264575e-06	4.09548726772559e-05	15	feces	86	control	7.70456340913424e-05
15 feces 87	3.20511789777487e-06	7.67127059521132e-05	5.06907308377895e-06	7.56833036244801e-06	2.65128784386137e-05	2.87558759182915e-06	1.92677707898965e-05	15	feces	87	control	3.51102921338984e-05
15 feces 90	2.78600365165622e-08	0.000103387553741899	7.79114676173498e-06	1.08901515151515e-05	1.1047795413376e-05	3.47705887864571e-06	4.918039141561e-05	15	feces	90	RPS	6.78895497290131e-05
15 feces 91	1.99623774140024e-06	0.000165365857816888	7.88770053475935e-06	1.33058526440879e-05	2.50701389688366e-05	5.19238980258056e-06	4.8855469265397e-05	15	feces	91	RPS	7.20452601856445e-05
15 feces 93	1.54499738090333e-06	0.000140163144618716	1.1267082590612e-05	1.72682709447413e-06	3.92392125050291e-05	4.02655847931966e-06	5.07196692787944e-05	15	feces	93	RPS	6.52585763447838e-05
15 feces 94	5.25513260675501e-07	0.000115218496625141	1.39297385620915e-05	1.72199940582293e-05	1.84656184500987e-05	3.39352435059144e-06	6.62218894524116e-05	15	feces	94	RPS	9.78971353334079e-05
15 feces 95	5.32940206780881e-07	0.000170251912479872	4.65314913844325e-06	1.45499108734403e-05	1.34411945554022e-05	2.15158824846676e-06	2.54805221663048e-05	15	feces	95	RPS	4.52165223849692e-05
15 feces 96	1.37786311156301e-06	0.000129906442415951	4.20008912655972e-06	7.57204396910278e-06	3.52360093958951e-05	4.50922595808059e-06	2.73094624098707e-05	15	feces	96	RPS	4.04594586170962e-05
19 feces 67	1.56000134400993e-06	4.33804961378491e-05	4.81825928733985e-06	5.5553798858307e-06	1.38684640522876e-05	3.51492869875223e-06	2.98295454545455e-05	19	feces	67	control	4.17631859717259e-05
19 feces 68	0	5.45046048722519e-05	6.22752991474208e-06	7.35085276784974e-06	8.96278966131907e-06	2.37113784907903e-06	4.54508318478907e-05	19	feces	68	control	5.90292145304825e-05
19 feces 69	2.04260871027039e-07	0.000135897578728461	6.60629667327671e-06	1.03086564132284e-05	9.28215983363041e-06	4.63643790849672e-06	3.3416889483066e-05	19	feces	69	control	5.05361034405981e-05
19 feces 70	4.58647297149527e-07	0.000106160873440285	9.27444042264096e-06	1.26741494034257e-05	2.02094474153298e-05	6.48767082590611e-06	4.70848187759952e-05	19	feces	70	control	6.94920558992115e-05
19 feces 71	9.28316676302665e-08	0.000118423202614379	9.2688766160888e-06	1.74218396189864e-05	3.80570409982175e-05	8.5375816993464e-06	5.44990344622698e-05	19	feces	71	control	8.12825823649752e-05
19 feces 72	4.51241923735427e-07	0.000122868389780155	1.23659207719036e-05	1.38457485932958e-05	2.59451128936423e-05	6.2054367201426e-06	3.98340017825312e-05	19	feces	72	control	6.64969130714659e-05
19 feces 73	1.09539873347726e-07	0.000101648841354724	7.80017703294775e-06	9.58824692651839e-06	1.89561051693405e-05	6.17201426024955e-06	3.14839572192513e-05	19	feces	73	control	4.89819210520652e-05
19 feces 74	1.96094638171049e-06	7.69923499702911e-05	3.6169393681324e-06	9.38027121245149e-06	2.8912284610814e-05	3.04887106357693e-06	1.549688057041e-05	19	feces	74	RPS	3.04550375327044e-05
19 feces 75	1.79568831121584e-06	0.000109712938205585	8.65800253914751e-06	1.123701723328e-05	4.54341206179441e-05	5.54812834224599e-06	3.90894236482472e-05	19	feces	75	RPS	6.07801317318906e-05
19 feces 76	1.22373905094857e-06	0.000153256833036245	8.06198820172815e-06	1.83910734747785e-05	3.23770796197267e-05	1.220105466429e-05	4.82323232323232e-05	19	feces	76	RPS	7.59091239597784e-05
19 feces 77	7.87356021787126e-07	8.53312537136067e-05	1.07988358973831e-05	1.79101758577905e-05	1.80369875222816e-05	5.13963161021983e-06	5.8123514557338e-05	19	feces	77	RPS	8.76198823342987e-05
19 feces 78	3.70279644639747e-06	0.000206788472964944	4.77739719166839e-06	1.63634882731784e-05	2.67658199643494e-05	5.6781045751634e-06	2.9187091503268e-05	19	feces	78	RPS	5.40307734145122e-05
19 feces 79	1.74540580697501e-07	4.30834076054664e-05	3.99941856096031e-06	1.00487038058952e-05	1.00898692810457e-05	3.4090909090909e-06	2.17320261437908e-05	19	feces	79	RPS	3.59546890913438e-05
19 feces 81	2.30270658457028e-07	8.71936274509804e-05	8.16411405900704e-06	1.64656125675902e-05	2.06142305407011e-05	9.23945335710043e-06	0.000112954916815211	19	feces	81	control	0.000137814914100265
19 feces 83	0	0.000127354426619132	5.55166245036301e-06	1.25218839593363e-05	1.39705882352941e-05	4.3356357694593e-06	4.36868686868687e-05	19	feces	83	control	6.1760415096568e-05
19 feces 84	9.17332737318432e-07	0.000109051916221034	8.91607845577631e-06	1.31754546252443e-05	2.68846553773024e-05	6.36697860962567e-06	5.65990790255497e-05	19	feces	84	control	7.96079448438887e-05
19 feces 85	2.24716159424884e-07	8.9444073083779e-05	4.94636280746955e-06	1.30677759014823e-05	2.57111556743909e-05	5.059789067142e-06	4.94076797385621e-05	19	feces	85	control	6.76465346069388e-05
19 feces 86	6.49907026234013e-08	0.000111328357100416	6.35192506403273e-06	1.6790541995971e-05	4.3100118835413e-05	6.58051099227569e-06	5.71709744503862e-05	19	feces	86	control	8.03784322130133e-05
19 feces 87	8.17068183276454e-07	8.62689393939394e-05	5.97685823685531e-06	1.71990235449485e-05	4.67970142602496e-05	5.35316399286986e-06	2.66581253713607e-05	19	feces	87	control	5.06510753364409e-05
19 feces 91	2.0129465724131e-06	0.000213192587641117	6.52089286784771e-06	1.78303314828861e-05	4.85702614379085e-05	6.18129827688651e-06	3.6480614973262e-05	19	feces	91	RPS	6.28447858964089e-05
19 feces 93	1.81983878277596e-06	8.38383838383838e-05	7.58110277510287e-06	1.67367087292713e-05	2.83738116458705e-05	9.83363042186571e-06	4.56216577540107e-05	19	feces	93	RPS	7.17593080411609e-05
19 feces 94	5.08819436752206e-07	9.06417112299465e-05	1.09640787639687e-05	1.93732866285073e-05	2.24171865715983e-05	6.5340909090909e-06	6.72979797979798e-05	19	feces	94	RPS	9.81441646272079e-05
19 feces 95	3.41676100628626e-07	0.000130277035056447	7.87259560154548e-06	1.62613836708908e-05	2.48421717171717e-05	5.34759358288769e-06	4.4333036244801e-05	19	feces	95	RPS	6.88086916178659e-05
19 feces 96	6.46231539876831e-07	8.96631758764112e-05	3.98644051331726e-06	1.45494457179313e-05	1.89802436125965e-05	3.79159239453357e-06	2.57130124777184e-05	19	feces	96	RPS	4.48951302488438e-05
21 cec_cont 67	3.13834197678629e-07	6.57883986928105e-05	5.37648131246662e-08	1.23455109790591e-05	2.12381164587047e-05	1.99234997029114e-06	1.91566399286988e-05	21	cec_cont	67	control	3.18697499185612e-05
21 cec_cont 68	4.84676156089197e-07	7.77666369578134e-05	4.04399746695265e-06	1.90780679271151e-05	4.12191770647653e-05	4.43033273915627e-06	3.56469102792632e-05	21	cec_cont	68	control	5.92536518294202e-05
21 cec_cont 69	3.84381900515747e-07	5.45677361853832e-05	3.0116500401612e-06	1.7704069020093e-05	1.88298425430778e-05	2.85390671420082e-06	2.46787730243613e-05	21	cec_cont	69	control	4.57788739851312e-05
21 cec_cont 70	4.6240000748853e-07	7.4819890077243e-05	3.25857521325393e-06	1.40908599029378e-05	3.18181818181818e-05	3.76745395127748e-06	1.89078282828283e-05	21	cec_cont	70	control	3.67196634065085e-05
21 cec_cont 71	7.70636560752489e-07	8.53405377302436e-05	2.4360548727883e-06	1.23770524484621e-05	1.92216280451575e-05	2.50854129530599e-06	1.63194444444444e-05	21	cec_cont	71	control	3.19031883264473e-05
21 cec_cont 72	8.24488251132451e-07	8.79196375519905e-05	2.69228098002521e-06	1.6447058210459e-05	2.98165478312537e-05	1.52072192513367e-06	1.36642156862745e-05	21	cec_cont	72	control	3.36280431278911e-05
21 cec_cont 73	7.0934760689305e-07	0.000139572192513369	1.09900636160077e-05	3.38410475393443e-05	6.74390968508615e-05	6.68449197860962e-06	5.50040849673202e-05	21	cec_cont	73	control	0.000100544543729565
21 cec_cont 74	1.05847691603384e-06	4.04653149138443e-05	8.2623996394712e-07	9.0999047488196e-06	3.37733957219251e-05	1.37403446226975e-06	9.21531491384433e-06	21	cec_cont	74	RPS	2.01999365426449e-05
21 cec_cont 75	1.20702521757255e-06	0.000134191176470588	4.64001461753264e-06	1.34465545378062e-05	5.56391117052881e-05	5.73566547831253e-06	3.17587641117053e-05	21	cec_cont	75	RPS	5.10523584846167e-05
21 cec_cont 76	7.68785686370515e-07	6.15456030897208e-05	3.10449059196602e-06	1.24364895311094e-05	3.75482768865122e-05	3.71360665478313e-06	1.92829025549614e-05	21	cec_cont	76	RPS	3.55926683644073e-05
21 cec_cont 77	1.74553149135044e-06	7.99873737373737e-05	2.82226869262101e-06	1.39887274816174e-05	3.65270350564468e-05	2.24487522281639e-06	1.86701574569221e-05	21	cec_cont	77	RPS	3.7226685122511e-05
21 cec_cont 78	1.43915581719484e-06	4.87856506238859e-05	1.85118377714337e-06	1.14858290994261e-05	4.8724376114082e-05	2.22630718954249e-06	8.99249851455735e-06	21	cec_cont	78	RPS	2.37686672083216e-05
21 cec_cont 79	1.27758855279464e-06	8.22508169934641e-05	4.25193879794537e-06	1.39218742824389e-05	1.50401069518717e-05	3.7191770647653e-06	2.33158793820559e-05	21	cec_cont	79	RPS	4.27672810152348e-05
21 cec_cont 80	9.84200889378272e-07	8.8732917409388e-05	1.43156242469892e-06	1.30269478763116e-05	3.08972073677956e-05	1.0769459298871e-06	1.58459595959596e-05	21	cec_cont	80	RPS	3.12886707863484e-05
21 feces 67	0	0.000128325534759358	8.2086732728751e-06	2.05875849079312e-05	1.59907902554961e-05	4.16666666666666e-06	5.27146464646465e-05	21	feces	67	control	8.15109046454527e-05
21 feces 68	0	6.90433749257279e-05	4.67343496565389e-06	1.52011750139292e-05	1.15437462863933e-05	4.61415626856803e-06	6.16681521093286e-05	21	feces	68	control	8.15427620889117e-05
21 feces 69	0	8.84896761734997e-05	5.25828480630749e-06	2.02979456417612e-05	1.42175430778372e-05	4.39133986928104e-06	6.77269013666073e-05	21	feces	69	control	9.3283131814676e-05
21 feces 70	7.98686687070469e-08	0.000153670900178253	9.12033360864151e-06	2.28008371473378e-05	1.86794414735591e-05	7.16540404040404e-06	5.18438057040998e-05	21	feces	70	control	8.38448451287862e-05
21 feces 71	5.1809631929649e-07	0.000152048054070113	9.14074527692634e-06	1.80549814250724e-05	2.78576203208556e-05	6.75133689839571e-06	4.43683155080214e-05	21	feces	71	control	7.20821385293166e-05
21 feces 72	2.12622883872574e-06	0.000326212492572787	1.26630049113577e-05	3.22720828483853e-05	6.61393345216875e-05	8.16807783719548e-06	6.41915478312537e-05	21	feces	72	control	0.000111252864429722
21 feces 73	1.46886672809338e-06	0.000129101678550208	9.42298249236804e-06	1.71860379955438e-05	3.0059789067142e-05	6.45610516934046e-06	4.67747326203208e-05	21	feces	73	control	7.4852619836326e-05
21 feces 74	1.88111272954582e-06	0.000138758912655971	4.94823074611874e-06	1.4970936571892e-05	3.3236779560309e-05	4.59187462863934e-06	2.25935828877005e-05	21	feces	74	RPS	4.43938629352571e-05
21 feces 75	1.44284724858471e-06	0.000162227049910873	6.64343101855821e-06	1.82351068490383e-05	6.70974450386215e-05	9.72036541889483e-06	5.58637849079026e-05	21	feces	75	RPS	8.21851700240838e-05
21 feces 76	6.35080334373076e-07	0.000161616161616162	1.17884692310973e-05	2.01735251740251e-05	3.63339275103981e-05	1.1523321449792e-05	6.70621657754011e-05	21	feces	76	RPS	9.96592405148965e-05
21 feces 77	7.72498690451656e-07	0.000112997623291741	1.13799876821199e-05	1.95793875273101e-05	2.72393048128342e-05	7.13940879382055e-06	6.77157605466429e-05	21	feces	77	RPS	9.94476344465245e-05
21 feces 78	3.92004626610682e-06	0.000255273321449792	9.50095267715526e-06	2.57511868548036e-05	6.1172385620915e-05	9.93946821152704e-06	6.12113784907902e-05	21	feces	78	RPS	0.000100383564288856
21 feces 79	3.50996128555444e-07	0.000173202614379085	1.11014691524395e-05	2.18464799100313e-05	3.16269310754605e-05	8.07895127748069e-06	5.7961972667855e-05	21	feces	79	RPS	9.12609178588812e-05
21 feces 80	2.05382744767733e-06	0.000137000519904932	3.85829604607192e-06	1.75722346238394e-05	5.74030748663102e-05	4.59558823529411e-06	2.40028966131907e-05	21	feces	80	RPS	4.74872547307793e-05
21 feces 81	1.80120091545639e-07	0.00018779894533571	1.22099528958697e-05	2.5227606714652e-05	2.78297682709447e-05	9.27473262032085e-06	6.38016191325014e-05	21	feces	81	control	0.000101419298834569
21 feces 82	1.57850508546639e-07	0.00011660724896019	1.0889808823112e-05	2.14472455325729e-05	2.58968360071301e-05	7.20254010695186e-06	6.74855169340463e-05	21	feces	82	control	9.99804217982779e-05
21 feces 83	2.1169625862032e-07	0.000180540701128936	7.86888941872024e-06	2.21082557580173e-05	2.0736779560309e-05	7.00757575757577e-06	4.2962715389186e-05	21	feces	83	control	7.31515568245438e-05
21 feces 84	4.64237438019412e-07	0.000127536393345217	5.59439842357831e-06	2.20451303092287e-05	1.68022133095662e-05	8.32776292335115e-06	5.94659833630422e-05	21	feces	84	control	8.75697495338686e-05
21 feces 85	1.72696897212623e-07	0.00014725193107546	6.17555427176935e-06	1.66921492028299e-05	2.18248663101604e-05	8.58957219251337e-06	7.56925876411171e-05	21	feces	85	control	9.87329880129289e-05
21 feces 86	2.28405402280841e-07	8.8433972073678e-05	8.07870837813762e-06	1.83576349973999e-05	2.48254604872252e-05	9.68694295900177e-06	0.000142712046939988	21	feces	86	control	0.000169376795717807
