group2	4-nitrophenyl sulfate	a-D-galactopyranoside	A-D-glucopyranoside	a-L-fucopyranoside	B-D-galactopyranoside	B-D-glucopyranoside	B-D-xylopyranoside	N-acetyl-B-D-glucosamine	day	tissue	pig	treatment	muc_deg
12 feces 84	9.02330650098032e-07	0.000201918676203847	1.56883352508138e-05	2.09985888294712e-05	1.13580659536542e-05	1.61223671336597e-05	6.52715371227937e-06	5.25671751270036e-05	12	feces	84	control	4.41164084426624e-05
12 feces 85	1.55977123530306e-07	6.9333444560222e-05	1.33840032454762e-05	1.67335115864528e-05	1.14769013666073e-05	9.19474526558175e-06	3.92816820244255e-06	9.43390100538529e-05	12	feces	85	control	3.42016601579018e-05
12 feces 86	5.79375893724977e-07	0.00025133651026634	2.38880739843138e-05	2.19047088532382e-05	5.22021687462864e-05	2.10335303372151e-05	5.46527607258819e-06	7.46813409359141e-05	12	feces	86	control	5.18374348038652e-05
12 feces 87	1.48543611823249e-07	0.000122311850469456	1.27582546260429e-05	1.7346256684492e-05	4.07122697563874e-05	1.19390719704601e-05	3.67941502515613e-06	7.1716091850511e-05	12	feces	87	control	3.39324699475143e-05
12 feces 91	1.67544034146288e-20	0.000158905489357046	2.30618060410448e-05	1.17962715389186e-05	1.40114379084967e-05	1.39109436759241e-05	3.22644310841946e-06	8.63623183680797e-05	12	feces	91	RPS	3.80845206883829e-05
12 feces 93	2.37686974540669e-07	0.000106229708399761	1.1280218698087e-05	1.22641859774213e-05	1.40894236482472e-05	1.12594737519755e-05	2.84030425098529e-06	6.40958698390884e-05	12	feces	93	RPS	2.66223959010343e-05
12 feces 94	4.69815385629073e-07	0.000154490965048154	3.09347454857339e-05	1.59555109922757e-05	2.8125e-05	2.23128641035188e-05	3.9337306717456e-06	8.0242371258516e-05	12	feces	94	RPS	5.12938025353843e-05
12 feces 95	6.16513750728905e-07	0.000156935844661301	2.06144805321646e-05	1.28973559120618e-05	2.24190433749257e-05	2.28847471807829e-05	4.44239664833612e-06	4.30084978730389e-05	12	feces	95	RPS	3.85707468432915e-05
12 feces 96	6.48083977497319e-07	0.000166282927526357	4.1303283887724e-05	1.3467394533571e-05	8.43360071301252e-06	2.39783720739847e-05	5.56366259990734e-06	5.04430013212606e-05	12	feces	96	RPS	6.09824249986997e-05
15 feces 67	6.05369736122287e-07	0.00011252111521409	2.66956033518494e-05	7.98425430778376e-06	1.51162358882947e-05	1.72290036418206e-05	4.40340874418152e-06	4.22267766382465e-05	15	feces	67	control	3.9688636139937e-05
